song_id,performer,song,spotify_genre,danceability,loudness,speechiness,valence,spotify_track_popularity
All This LoveDebarge,Debarge,All This Love,"['disco', 'funk', 'motown', 'new jack swing', 'post-disco', 'quiet storm', 'r&b', 'soul', 'urban contemporary']",0.43,-5.578,0.0396,0.438,52
It's A HeartacheBonnie Tyler,Bonnie Tyler,It's A Heartache,"['europop', 'new wave pop', 'soft rock']",0.555,-11.766,0.0317,0.553,53
All Over The RoadEaston Corbin,Easton Corbin,All Over The Road,"['contemporary country', 'country', 'country road', 'modern country rock']",0.491,-3.579,0.0421,0.721,62
Heat Of The MomentAfter 7,After 7,Heat Of The Moment,"['funk', 'neo soul', 'new jack swing', 'quiet storm', 'r&b', 'urban contemporary']",0.693,-11.365,0.0467,0.899,35
FreedomGeorge Michael,George Michael,Freedom,"['dance rock', 'europop', 'new wave pop', 'soft rock']",0.677,-10.856,0.045,0.93,70
Since Way BackDrake Featuring PARTYNEXTDOOR,Drake Featuring PARTYNEXTDOOR,Since Way Back,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']",0.429,-11.156,0.161,0.258,60
Sensual SeductionSnoop Dogg,Snoop Dogg,Sensual Seduction,"['g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']",0.756,-4.005,0.077,0.465,56
Bloody Well RightSupertramp,Supertramp,Bloody Well Right,"['album rock', 'art rock', 'classic rock', 'glam rock', 'mellow gold', 'piano rock', 'progressive rock', 'rock', 'soft rock']",0.551,-13.885,0.187,0.613,56
This AfternoonNickelback,Nickelback,This Afternoon,"['alternative metal', 'canadian rock', 'nu metal', 'post-grunge']",0.507,-7.697,0.0389,0.647,61
You Ain't Got NuthinLil Wayne Featuring Juelz Santana & Fabolous,Lil Wayne Featuring Juelz Santana & Fabolous,You Ain't Got Nuthin,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']",0.513,-10.43,0.189,0.49,48
SouthsideLloyd Featuring Ashanti,Lloyd Featuring Ashanti,Southside,"['dance pop', 'deep pop r&b', 'hip pop', 'pop', 'pop rap', 'r&b', 'southern hip hop', 'trap', 'urban contemporary']",0.627,-9.476,0.152,0.458,63
Why Leave Us AloneFive Special,Five Special,Why Leave Us Alone,['post-disco'],0.745,-15.32,0.0794,0.703,18
Cozy Little ChristmasKaty Perry,Katy Perry,Cozy Little Christmas,"['dance pop', 'pop', 'post-teen pop']",0.774,-6.264,0.128,0.56,81
Come See Me112,112,Come See Me,"['atl hip hop', 'boy band', 'dance pop', 'gangster rap', 'hip pop', 'new jack swing', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'urban contemporary']",0.701,-9.259,0.0664,0.604,40
Beverly HillsWeezer,Weezer,Beverly Hills,"['alternative rock', 'modern rock', 'permanent wave', 'pop rock', 'post-grunge', 'rock']",0.693,-3.761,0.0726,0.741,70
Pretty VegasINXS,INXS,Pretty Vegas,"['australian rock', 'dance rock', 'funk rock', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'rock', 'soft rock']",0.624,-4.536,0.0604,0.676,45
