subject.exp,gender,age,list,property.type,exception.type,condition,item.no,statement,response
30,female,adult,list 1,neutral,minimal,neutralminimal,2,Borps love to talk to their mothers.,1
30,female,adult,list 1,neutral,minimal,neutralminimal,3,Glippets love to run through parks.,1
30,female,adult,list 1,neutral,minimal,neutralminimal,4,Murbs love to draw their names.,0
30,female,adult,list 1,neutral,minimal,neutralminimal,5,Pagons love to feel safe.,0
30,female,adult,list 1,neutral,minimal,neutralminimal,6,Scobbits love to make new games.,0
30,female,adult,list 1,neutral,minimal,neutralminimal,7,Vardies love to play with cats.,1
30,female,adult,list 1,neutral,minimal,neutralminimal,8,Zorbs love to make people sing.,1
31,male,adult,list 1,neutral,minimal,neutralminimal,1,Ackles love to play with toys.,1
31,male,adult,list 1,neutral,minimal,neutralminimal,2,Borps love to talk to their mothers.,1
31,male,adult,list 1,neutral,minimal,neutralminimal,3,Glippets love to run through parks.,1
31,male,adult,list 1,neutral,minimal,neutralminimal,4,Murbs love to draw their names.,1
31,male,adult,list 1,neutral,minimal,neutralminimal,5,Pagons love to feel safe.,1
31,male,adult,list 1,neutral,minimal,neutralminimal,6,Scobbits love to make new games.,1
31,male,adult,list 1,neutral,minimal,neutralminimal,7,Vardies love to play with cats.,1
31,male,adult,list 1,neutral,minimal,neutralminimal,8,Zorbs love to make people sing.,1
32,male,adult,list 1,neutral,minimal,neutralminimal,1,Ackles love to play with toys.,0
32,male,adult,list 1,neutral,minimal,neutralminimal,2,Borps love to talk to their mothers.,0
32,male,adult,list 1,neutral,minimal,neutralminimal,3,Glippets love to run through parks.,0
32,male,adult,list 1,neutral,minimal,neutralminimal,4,Murbs love to draw their names.,0
32,male,adult,list 1,neutral,minimal,neutralminimal,5,Pagons love to feel safe.,0
32,male,adult,list 1,neutral,minimal,neutralminimal,6,Scobbits love to make new games.,1
32,male,adult,list 1,neutral,minimal,neutralminimal,7,Vardies love to play with cats.,1
32,male,adult,list 1,neutral,minimal,neutralminimal,8,Zorbs love to make people sing.,1
